6000 768
5800 200 30 100
b -800 700 4400 70
b -800 0 72000 60
b 200 600 120 318
b 500 560 50 400
b 1050 560 100 10
b 1300 440 100 10
b 1500 320 75 400
b 1575 300 425 20
b 1650 500 425 20
b 2075 250 75 270
i 2112.5 220
b 2150 0 5 520
b 2160 425 60 10
b 2240 560 60 10
b 2240 300 60 10
b 2300 220 70 800
b 2370 425 500 10
b 2480 560 390 10
i 2830 550 
b 2870 425 5 145
b 3240 560 60 10
b 3240 425 60 10
b 3240 300 60 10
b 3300 200 300 800
b 3700 480 200 10
b 3800 330 150 10
b 3920 405 5 150
b 3950 630 300 10
b 4060 80 5 320
b 4200 504 230 10
i 4275 590
b 4430 380 100 800
b 4750 380 100 800
b 4900 480 80 20
b 5100 620 60 10
b 5200 500 70 10
b 5350 450 80 10
b 5500 380 70 10
b 5600 300 8000 800
